frame,x,y
0,85,250
1,85,250
2,84,249
3,86,250
4,86,249
5,86,249
6,87,250
7,87,249
8,86,249
9,85,248
10,87,249
11,87,249
12,86,250
13,86,250
14,85,251
15,82,251
16,84,253
17,82,253
18,81,253
19,82,254
20,84,254
21,85,252
22,91,253
23,101,252
24,101,252
25,111,251
26,137,250
27,154,251
28,171,251
29,186,250
30,203,251
31,219,250
32,237,252
33,254,250
34,254,250
35,267,249
36,280,247
37,295,247
38,324,247
39,338,247
40,349,246
41,363,246
42,376,245
43,386,244
44,398,245
45,398,245
46,411,244
47,423,244
48,432,243
49,444,244
50,465,244
51,476,245
52,485,244
53,495,246
54,503,247
55,503,247
56,508,244
57,517,246
58,523,247
59,529,249
60,535,250
61,537,248
62,548,252
63,550,254
64,553,255
65,554,255
66,554,255
67,555,256
68,553,255
69,551,256
70,547,255
71,542,255
72,534,254
73,527,255
74,505,254
75,493,254
76,493,254
77,480,253
78,466,251
79,457,254
80,443,253
81,430,254
82,417,253
83,404,253
84,392,254
85,376,251
86,348,250
87,348,250
88,336,248
89,322,247
90,311,247
91,295,245
92,279,243
93,266,243
94,252,240
95,237,240
96,225,239
97,213,239
98,202,239
99,190,238
100,180,239
101,172,240
102,161,240
103,150,239
104,143,241
105,134,242
106,124,242
107,118,242
108,109,243
109,103,245
110,91,244
111,83,246
112,79,251
113,71,251
114,67,255
115,60,254
116,63,255
117,70,254
118,76,252
119,86,251
120,98,250
121,104,246
122,117,246
123,126,243
124,136,241
125,150,242
126,161,241
127,176,243
128,188,243
129,202,243
130,213,242
131,228,244
132,241,246
133,255,246
134,266,246
135,277,246
136,290,246
137,301,246
138,312,245
139,324,245
140,334,245
141,346,246
142,355,245
143,368,244
144,378,243
145,387,244
146,397,244
147,407,243
148,417,243
149,426,243
150,436,244
151,444,243
152,452,242
153,460,242
154,469,242
155,476,242
156,484,242
157,493,242
158,499,242
159,509,242
160,518,243
161,525,242
162,534,242
163,540,240
164,548,241
165,553,239
166,557,241
167,561,244
168,559,243
169,558,243
170,555,243
171,549,243
172,542,241
173,535,242
174,527,242
175,517,240
176,508,240
177,500,244
178,488,243
179,477,244
180,465,244
181,454,246
182,454,246
183,427,246
184,414,245
185,401,245
186,390,246
187,379,247
188,368,246
189,356,248
190,343,246
191,330,244
192,322,246
193,322,246
194,296,247
195,283,245
196,270,245
197,258,243
198,245,242
199,234,243
200,222,242
201,209,240
202,199,241
203,199,241
204,188,243
205,177,243
206,156,243
207,146,243
208,136,242
209,128,242
210,120,241
211,115,241
212,108,240
213,101,239
214,101,239
215,95,239
216,91,239
217,88,240
218,82,240
219,83,240
220,80,240
221,81,241
222,81,240
223,80,240
224,80,240
225,80,238
226,81,239
227,80,238
228,80,239
229,80,239
230,80,239
231,80,239
232,81,240
233,80,239
