frame,x,y
0,327,53
1,327,53
2,327,53
3,327,53
4,327,52
5,327,52
6,328,52
7,328,52
8,328,52
9,329,52
10,329,53
11,329,52
12,329,53
13,328,51
14,328,51
15,328,53
16,327,53
17,327,54
18,326,56
19,325,58
20,324,62
21,323,70
22,323,77
23,322,86
24,322,86
25,321,108
26,320,119
27,321,129
28,322,141
29,323,150
30,324,163
31,324,178
32,326,193
33,327,208
34,327,208
35,328,220
36,329,232
37,329,247
38,328,260
39,326,271
40,326,278
41,326,287
42,325,295
43,324,302
44,323,308
45,323,308
46,322,317
47,322,323
48,322,332
49,323,346
50,323,355
51,322,362
52,322,370
53,321,375
54,321,384
55,321,384
56,320,392
57,320,399
58,319,409
59,320,411
60,320,416
61,319,429
62,319,430
63,319,432
64,319,432
65,317,429
66,317,429
67,316,421
68,315,411
69,314,406
70,315,396
71,315,384
72,315,373
73,313,351
74,313,341
75,312,330
76,312,330
77,312,320
78,311,308
79,310,295
80,309,283
81,308,270
82,307,256
83,307,239
84,308,233
85,308,213
86,308,201
87,308,201
88,308,190
89,308,181
90,308,170
91,309,165
92,311,156
93,308,148
94,309,141
95,310,133
96,311,127
97,312,121
98,312,114
99,311,107
100,312,101
101,312,94
102,312,89
103,313,81
104,314,76
105,314,69
106,315,64
107,316,58
108,316,52
109,316,50
110,317,48
111,317,48
112,318,50
113,319,54
114,320,61
115,320,66
116,321,75
117,322,83
118,323,91
119,323,102
120,323,111
121,323,119
122,322,129
123,323,133
124,323,140
125,322,145
126,322,155
127,323,163
128,322,170
129,321,178
130,320,184
131,320,193
132,320,203
133,321,211
134,318,219
135,318,226
136,318,229
137,315,234
138,315,241
139,315,247
140,316,257
141,316,266
142,317,276
143,318,286
144,319,296
145,320,307
146,321,318
147,322,327
148,322,337
149,322,345
150,321,351
151,320,359
152,321,366
153,321,374
154,320,379
155,319,383
156,319,391
157,319,397
158,318,401
159,319,409
160,319,412
161,317,417
162,316,422
163,315,421
164,314,417
165,313,412
166,312,402
167,311,393
168,310,384
169,310,372
170,310,361
171,310,351
172,309,340
173,309,329
174,309,318
175,308,308
176,308,296
177,306,285
178,307,276
179,306,263
180,307,252
181,306,242
182,307,235
183,305,225
184,303,214
185,304,205
186,304,193
187,304,186
188,304,173
189,306,166
190,306,158
191,308,155
192,307,145
193,307,135
194,308,131
195,308,123
196,309,116
197,309,108
198,310,98
199,311,92
200,311,86
201,312,80
202,313,77
203,313,77
204,314,67
205,315,57
206,316,54
207,317,52
208,318,52
209,318,51
210,319,51
211,320,52
212,321,53
213,321,53
214,321,53
215,321,53
216,321,53
